PORT_NAME,CNTR_CODE3,LONGITUDE,LATITUDE
PORT PIRIE,AUS,138.016667,-33.183333
PORT OF ARDOSSAN,AUS,137.9184335,-34.43777778
HIMEKAWA,JPN,137.85,37.033333
BALLAST HEAD,AUS,137.7953,-35.75186613
PORT GILES,AUS,137.766667,-35.033333
KLEIN POINT,AUS,137.766667,-34.966667
PORT BONYTHON,AUS,137.766667,-33.016667
PORT AUGUSTA,AUS,137.7665,-32.48906613
HAMAMATSU HARBOR,JPN,137.6349234,34.70305556
KINGSCOTE,AUS,137.633333,-35.633333
HAMAMATSU,JPN,137.620269,34.69696
WALLAROO,AUS,137.616667,-33.933333
WHYALLA,AUS,137.583333,-33.033333
TOYOHASHI,JPN,137.3135,34.696434
MIKAWA,JPN,137.3,34.716667
TOYAMA,JPN,137.22828,36.757811
GAMAGORI,JPN,137.2249,34.823934
GAMAGORI KO,JPN,137.216667,34.816667
FUSHIKI-TOYAMA,JPN,137.133333,36.766667
SHIMMINATO,JPN,137.116667,36.766667
FUSHIKI,JPN,137.115092,36.77316
TAHARA HARBOR,JPN,137.1084806,34.65138889
TAHARA,JPN,137.0683,34.654134
ATSUMI,JPN,137.066667,34.666667
NANAO KO,JPN,136.9833333,37.05
NANAO,JPN,136.9745,37.051534
KINUURA KO,JPN,136.95,34.85
KINUURA,JPN,136.9373,34.828534
WAJIMA HARBOR,JPN,136.9024735,37.40166667
NAGOYA,JPN,136.8673096,35.06671143
NAGOYA KO,JPN,136.866667,35.066667
TOBA,JPN,136.843702,34.488448
AMAMAPARE,IDN,136.8406824,-4.826525568
TOBA HARBO,JPN,136.8400471,34.48666667
WAJIMA,JPN,136.7917,37.370334
ISE,JPN,136.7411,34.509934
GOVE,AUS,136.7,-12.2
PORT OF NHULUNBUY,AUS,136.6733804,-12.20111111
YOKKAICHI,JPN,136.6337,34.962534
KANAZAWA,JPN,136.5919,36.601734
MATSUSAKA,JPN,136.558342,34.609758
TSU,JPN,136.543176,34.677782
MINAMIISE,JPN,136.539245,34.278815
MILNER BAY,AUS,136.4185,-13.95576613
PORT OF BING BONG,AUS,136.3870436,-15.6275
BIAK,IDN,136.3755656,-1.25595776
SERUI,IDN,136.25,-1.9
OWASE,JPN,136.2177,34.062534
OWASE KO,JPN,136.2166667,34.06666667
OWASE HARBOR,JPN,136.2079505,34.07194444
FUKUI,JPN,136.1447,36.218734
FUKUI KO,JPN,136.1,36.183333
TSURUGA KO,JPN,136.0666667,35.65
TSURUGA,JPN,136.0649,35.658334
SHINGU,JPN,136.0127,33.726034
URAGA,JPN,135.9025,33.556234
PORT LINCOLN,AUS,135.85,-34.716667
UCHIURA,JPN,135.4965,35.527134
SAKAI-SENBOKU,JPN,135.433333,34.55
SAKAI,JPN,135.418831,34.555451
OSAKA,JPN,135.417666,34.64224
AMAGASAKI,JPN,135.3997,34.700634
TANABE,JPN,135.3785,33.728734
TANABE KO,JPN,135.366667,33.716667
HANNAN KO,JPN,135.35,34.466667
HANNAN,JPN,135.349427,34.464034
NISHINOMIYA,JPN,135.3339,34.726734
MAIZURU KO,JPN,135.333333,35.516667
IZUMISANO,JPN,135.3229,34.415234
MAIZURU,JPN,135.310035,35.453828
KOBE,JPN,135.225461,34.675487
MIYAZU,JPN,135.2029,35.536634
KAINAN,JPN,135.2021,34.148034
SHIMOTSU,JPN,135.140013,34.11835
WAKAYAMA-SHIMOTSU KO,JPN,135.1333333,34.2
WAKAYAMA KU,JPN,135.133333,34.233333
