PORT_NAME,CNTR_CODE3,LONGITUDE,LATITUDE,Port Name Lower,Main Port Name,Country Code,Latitude,Longitude,_merge,lon diff,lat diff,position diff,Country Code 3
SHIPPEGAN,CAN,-64.7146,47.744034,shippegan,Shippegan,Canada,47.75,-64.7,both,-205.74650000000003,9.422599999999996,215.16910000000001,CAN
SHISHMAREF,USA,-166.083333,66.25,shishmaref,Shishmaref,United States,66.25,-166.083333,both,-101.38121286,18.502499999999998,119.88371286,USA
SHOREHAM,GBR,-0.225300177,50.82914388,shoreham,,,,,left_only,165.858032823,-15.420856120000003,181.278888943,
SHORTLAND HARBOUR,SLB,155.8467,-7.082866,shortland harbour,,,,,left_only,156.0967,-57.899533000000005,213.99623300000002,
SHUAIBA,KWT,48.15509033,29.04730225,shuaiba,,,,,left_only,-107.69160966999999,36.130168250000004,143.82177792,
SHUI DONG,CHN,111.083333,21.483333,shui dong,Shui Dong,China,21.483333,111.083333,both,62.928242669999996,-7.563969250000003,70.49221192,CHN
SHUIDONG,CHN,111.0025,21.50333387,shuidong,,,,,left_only,-0.08083299999999838,0.020000870000000504,0.10083386999999888,
SHUWAIKH,KWT,47.942721,29.351018,shuwaikh,,,,,left_only,-63.059779,7.847684130000001,70.90746313,
SHWISHWI,COD,29.102983,-2.159022,shwishwi,,,,,left_only,-18.839738,-31.51004,50.349778,
SI RACHA,THA,100.916667,13.166667,si racha,Si Racha,Thailand,13.166667,100.916667,both,71.81368400000001,15.325689,87.139373,THA
SIASI,PHL,120.816667,5.55,siasi,Siasi,Philippines,5.55,120.816667,both,19.933334000000002,-7.5833330000000005,27.516667,PHL
SIBENIK,HRV,15.9,43.73333333,sibenik,Sibenik,Croatia,43.733333,15.883333,both,-104.91666699999999,38.18333333,143.10000033,HRV
SIBOLGA,IDN,98.7703,1.75693387,sibolga,Sibolga,Indonesia,1.733333,98.766667,both,82.8703,-41.97639946,124.84669946,IDN
SIBU,MYS,111.8275,2.283333868,sibu,Sibu,Malaysia,2.283333,111.816667,both,13.057199999999995,0.5263999980000003,13.583599997999995,MYS
SIDI IFNI,MAR,-10.190871,29.358202,sidi ifni,,,,,left_only,-122.018371,27.074868132,149.093239132,
SIDI KERIR,EGY,29.67231829,31.0544228,sidi kerir,,,,,left_only,39.86318929,1.6962208000000025,41.55941009,
SIDI KERIR (KURAYR),EGY,29.616667,31.1,sidi kerir (kurayr),Sidi Kerir (Kurayr),Egypt,31.1,29.616667,both,-0.05565129000000013,0.04557720000000032,0.10122849000000045,EGY
SIDNEY,CAN,-123.383333,48.65,sidney,Sidney,Canada,48.65,-123.383333,both,-153.0,17.549999999999997,170.55,CAN
SIDON/ZAHRANI TERMINAL,LBN,35.316667,33.533333,sidon/zahrani terminal,Sidon/zahrani Terminal,Lebanon,33.533333,35.316667,both,158.7063608,-15.11500033,173.82136113,LBN
SIFNOS (SIFNOS),GRC,24.71666667,36.96666667,sifnos (sifnos),,,,,left_only,-10.600000330000004,3.4333336700000032,14.033334000000007,
SIGLUFJORDUR,ISL,-18.90087891,66.1506958,siglufjordur,,,,,left_only,-43.61754558,29.184029129999992,72.80157470999998,
SIGNILSKAR,FIN,19.333333,60.2,signilskar,Signilskar,Finland,60.2,19.333333,both,38.25,-5.950000000000003,44.2,FIN
SIGRI LESVOU (SIGRI LESBOY),GRC,25.86666667,39.2,sigri lesvou (sigri lesboy),,,,,left_only,6.533333670000001,-21.0,27.53333367,
SIHANOUKVILLE,KHM,103.4923,10.62293387,sihanoukville,,,,,left_only,77.62563333,-28.577066130000002,106.20269946,
SIILINJARVI,FIN,27.66822624,63.07390213,siilinjarvi,,,,,left_only,-75.82407376,52.450968259999996,128.27504202,
SIKA,IND,69.8193,22.436234,sika,,,,,left_only,42.15107376,-40.63766813,82.78874189000001,
SIKEA,SWE,20.9881,64.149734,sikea,,,,,left_only,-48.831199999999995,41.713499999999996,90.54469999999999,
SIKINOS KYKLADES (SIKINOS KIKLADON),GRC,25.117531,36.6943055,sikinos kyklades (sikinos kikladon),,,,,left_only,4.129431,-27.455428499999996,31.584859499999997,
